Team,Rank,Weighted Score(Avg+3WkAvg-Std+300*%Wins),Points per Game,STD,Avereage Points in last 3 weeks,Percent of Total Wins
>Taniquetil Eagles, 1, 264.3, 123.6, 19.9, 119.5, 1.368821e-001
Fae Cthae, 2, 249.7, 115.6, 16.2, 109.2, 1.368821e-001
DeandreSSSS Hopkin, 3, 234.1, 117.0, 31.9, 115.9, 1.102662e-001
Last Manning Standin, 4, 226.8, 108.5, 18.7, 103.9, 1.102662e-001
Gotta Catch Jamaal!, 5, 224.9, 103.7, 8.7, 102.6, 9.125475e-002
>Team  Suckerpunch, 6, 212.0, 99.1, 12.7, 102.8, 7.604563e-002
Flacco's  Favorite, 7, 211.0, 107.7, 39.0, 118.3, 7.984791e-002
The Life of Julio, 8, 203.8, 102.5, 23.7, 99.8, 8.365019e-002
G - Lit, 9, 190.7, 92.5, 16.0, 96.0, 6.083650e-002
WINTER IS NEVER COMING, 10, 180.4, 93.9, 17.5, 86.9, 5.703422e-002
>Do You Even Lift?, 11, 159.1, 80.8, 8.0, 78.3, 2.661597e-002
>Fortune Favors The Bold, 12, 142.4, 84.4, 23.7, 72.6, 3.041825e-002
